 1,        1,   1.35
 1,       10,   4.04
 1,      100,   6.38
 1,     1000,   6.87
 1,    10000,   6.25
 1,   100000,   6.84
 1,   500000,  12.95
 1,  1000000,  12.85
 2,        1,   0.57
 2,       10,   3.33
 2,      100,  16.72
 2,     1000,  13.57
 2,    10000,  13.65
 2,   100000,  13.71
 2,   500000,  25.12
 2,  1000000,  25.31
 4,        1,   0.46
 4,       10,   4.38
 4,      100,  14.23
 4,     1000,  25.34
 4,    10000,  27.78
 4,   100000,  23.84
 4,   500000,  27.48
 4,  1000000,  50.14
 6,        1,   0.41
 6,       10,   3.66
 6,      100,  23.13
 6,     1000,  35.41
 6,    10000,  41.15
 6,   100000,  40.61
 6,   500000,  40.89
 6,  1000000,  49.95
 8,        1,   0.27
 8,       10,   2.50
 8,      100,  13.24
 8,     1000,  45.03
 8,    10000,  53.30
 8,   100000,  51.97
 8,   500000,  52.27
 8,  1000000,  53.26
16,        1,   0.21
16,       10,   1.86
16,      100,  10.30
16,     1000,  52.31
16,    10000,  72.73
16,   100000,  70.83
16,   500000,  73.03
16,  1000000,  72.95
20,        1,   0.19
20,       10,   1.52
20,      100,  10.47
20,     1000,  61.21
20,    10000,  86.60
20,   100000,  87.77
20,   500000,  89.30
20,  1000000,  86.64
24,        1,   0.00
24,       10,   0.01
24,      100,   0.06
24,     1000,   0.17
24,    10000,  12.80
24,   100000,  45.72
24,   500000,  71.01
24,  1000000,  83.08
